subjectName,courseID,lecOrSection,enrollCode,days,time,location
Art,ART 1A,0,00828,W,10:00am - 10:50am,ARTS 1344
Art,ART 1A,0,00836,T,2:00pm - 2:50pm,ARTS 1344
Art,ART 1A,0,00844,W,11:00am - 11:50am,ARTS 1344
Art,ART 1A,0,00851,T,3:00pm - 3:50pm,ARTS 1344
Art,ART 7C,1,MULFINGER J,T,3:30pm - 4:45pm,HSSB 1173
Art,ART 7C,0,00877,M W,9:00 am - 10:50am,ARTS 1345
Art,ART 7C,0,,M W,9:00 am - 10:50am,ARTS 0645
Art,ART 7C,0,00885,M W,1:00pm - 2:50pm,ARTS 1345
Art,ART 7C,0,,M W,1:00pm - 2:50pm,ARTS 0645
Art,ART 7C,0,00893,T R,1:00pm - 2:50pm,ARTS 1345
Art,ART 7C,0,,T R,1:00pm - 2:50pm,ARTS 0645
Art,ART 7D,1,JEVBRATT L V,R,3:30pm - 4:45pm,PHELP1260
Art,ART 7D,0,00919,M,11:00am - 12:50pm,ARTS 1345
Art,ART 7D,0,,W,11:00am - 12:50pm,ARTS 2220
Art,ART 7D,0,00927,M,3:00pm - 4:50pm,ARTS 1345
Art,ART 7D,0,,W,3:00pm - 4:50pm,ARTS 2220
Art,ART 7D,0,00935,T,9:00 am - 10:50am,ARTS 1345
Art,ART 7D,0,,R,9:00 am - 10:50am,ARTS 2220
Art,ART 7D,0,73833,M W,5:00pm - 6:50pm,ARTS 1345
Art,ART 10,1,ELLIS C M||MATTES K A||,M W,9:00 am - 11:50am,ARTS 2628
Art,ART 14,1,ELLIS C M||JAHNKE A||,M W,1:00pm - 3:50pm,ARTS 2235
Art,ART 18,1,BELTZ E A||KOTH M||,M W,1:00pm - 3:50pm,ARTS 2636
Art,ART 19,1,BRICCETTI R E||VELASCO C A||,T R,12:00pm - 2:20pm,ARTS 1237
Art,ART 22,1,DE JESUS ESCA||THEOHAR E S||,T R,12:00pm - 2:50pm,ARTS 2220
Art,ART 100,1,ARGENT P,T R,1:00pm - 2:50pm,ARTS 2422
Art,ART 101,1,CALLISTER J,W,1:00pm - 3:50pm,ARTS 2432
Art,ART CS 101,1,CONNALLY D E,W,2:00pm - 3:50pm,CRST 136
Art,ART CS 101,1,PITCHER H,T,9:00 am - 12:50pm,CRST 120
Art,ART CS 101,1,PITCHER H,W,9:00 am - 12:50pm,CRST 120
Art,ART CS 105,1,EKSTROM L,W,1:00pm - 4:50pm,CRST 107
Art,ART 105KY,1,YASUDA K,F,12:00pm - 3:50pm,ARTS 0641
Art,ART 105TD,1,BAKER E A,T R,9:00 am - 11:50am,ARTS 0641
Art,ART 106W,1,WHITE J S,M W,8:00 am - 10:50am,TD-W 1530
Art,ART 110,1,BRUGGEMAN I V,T R,9:00 am - 11:50am,ARTS 2235
Art,ART 112,1,BRUGGEMAN I V,T R,2:00pm - 4:50pm,ARTS 2235
Art,ART CS 112,1,EKSTROM L,W,6:00pm - 8:50pm,CRST 136
Art,ART CS 112,1,FULBECK L K,W,1:00pm - 3:50pm,ARTS 1344
Art,ART CS 112,1,MIRACLE J W,F,1:00pm - 4:50pm,CRST 120
Art,ART 117,1,BELTZ E A,M W,9:00 am - 11:50am,ARTS 2636
Art,ART 120EL,1,BRICCETTI R E,M W,9:00 am - 11:50am,ARTS 1237
Art,ART CS 125,1,MULFINGER J,M,12:30pm - 2:50pm,ARTS 0641
Art,ART 130,1,TASCHIAN H J,R,2:00pm - 4:50pm,ARTS 1344
Art,ART 132,1,MOULTON S M,F,10:00am - 1:50pm,ARTS 2220
Art,ART 185AI,1,OFFERT F,T R,9:00 am - 10:50am,ARTS 1344
Art,ART 192ES,1,T B A,,,T B A
Art,ART 192IA,1,T B A,,,T B A
Art,ART 194,1,YASUDA K||MORRISON A G||,F,1:00pm - 3:50pm,ARTS 0641
Art,ART 196,1,BECKMAN L B,W,3:00pm - 5:50pm,ARTS 1352
Art,ART 199,1,T B A,,,T B A
Art,ART 199RA,1,T B A,,,T B A
Art(CreativeStudies),ART CS 101,1,T B A,W,2:00pm - 3:50pm,CRST 136
Art(CreativeStudies),ART CS 101,1,T B A,T,9:00 am - 12:50pm,CRST 120
Art(CreativeStudies),ART CS 101,1,T B A,W,9:00 am - 12:50pm,CRST 120
Art(CreativeStudies),ART CS 105,1,T B A,W,1:00pm - 4:50pm,CRST 107
Art(CreativeStudies),ART CS 112,1,T B A,W,6:00pm - 8:50pm,CRST 136
Art(CreativeStudies),ART CS 112,1,T B A,W,1:00pm - 3:50pm,ARTS 1344
Art(CreativeStudies),ART CS 112,1,T B A,F,1:00pm - 4:50pm,CRST 120
Art(CreativeStudies),ART CS 125,1,T B A,M,12:30pm - 2:50pm,ARTS 0641
ArtHistory,ARTHI 1,1,PAUL C,M W,11:00am - 12:15pm,TD-W 1701
ArtHistory,ARTHI 1,0,01719,W,4:00pm - 4:50pm,ARTS 1332
ArtHistory,ARTHI 1,0,01727,W,5:00pm - 5:50pm,ARTS 1332
ArtHistory,ARTHI 1,0,01735,T,9:00 am - 9:50 am,ARTS 2324
ArtHistory,ARTHI 1,0,01743,T,10:00am - 10:50am,ARTS 2324
ArtHistory,ARTHI 1,0,01750,T,11:00am - 11:50am,ARTS 2324
ArtHistory,ARTHI 1,0,01768,T,12:00pm - 12:50pm,ARTS 2324
ArtHistory,ARTHI 1,0,01776,R,1:00pm - 1:50pm,ARTS 2622
ArtHistory,ARTHI 6B,1,MEADOW M A,T R,2:00pm - 3:15pm,IV THEA1
ArtHistory,ARTHI 6B,0,01842,R,9:00 am - 9:50 am,ARTS 2324
ArtHistory,ARTHI 6B,0,01867,W,12:00pm - 12:50pm,ARTS 2324
ArtHistory,ARTHI 6B,0,01875,W,5:00pm - 5:50pm,ARTS 2324
ArtHistory,ARTHI 6B,0,01883,W,8:00 am - 8:50 am,ARTS 2324
ArtHistory,ARTHI 6B,0,01891,W,9:00 am - 9:50 am,ARTS 2324
ArtHistory,ARTHI 6B,0,01909,W,10:00am - 10:50am,ARTS 2324
ArtHistory,ARTHI 6B,0,01917,W,11:00am - 11:50am,ARTS 2324
ArtHistory,ARTHI 6B,0,01925,R,12:00pm - 12:50pm,ARTS 2324
ArtHistory,ARTHI 6B,0,01941,W,2:00pm - 2:50pm,ARTS 2324
ArtHistory,ARTHI 6B,0,01958,W,3:00pm - 3:50pm,ARTS 2324
ArtHistory,ARTHI 6B,0,01966,W,4:00pm - 4:50pm,ARTS 2324
ArtHistory,ARTHI 6B,0,01974,R,8:00 am - 8:50 am,ARTS 2324
ArtHistory,ARTHI 6B,0,01982,R,10:00am - 10:50am,ARTS 2324
ArtHistory,ARTHI 6B,0,01990,R,11:00am - 11:50am,ARTS 2324
ArtHistory,ARTHI 6B,0,02030,W,1:00pm - 1:50pm,ARTS 2324
ArtHistory,ARTHI 6B,0,62166,W,1:00pm - 1:50pm,ARTS 1332
