,subjectName,courseID,lecOrSection,proName,enrollCode,days,time,location
61,Anthropology,ANTH 195C,1,BODDY A M,,,,T B A
62,Anthropology,ANTH 195C,1,HARTHORN B H,,,,T B A
63,Anthropology,ANTH 195C,1,FRUHSTUCK S,,,,T B A
64,Anthropology,ANTH 195C,1,GAULIN S J,,,,T B A
65,Anthropology,ANTH 195C,1,SMITH S T,,,,T B A
66,Anthropology,ANTH 195C,1,GURVEN M D,,,,T B A
67,Anthropology,ANTH 198,1,T B A,,,,T B A
68,Anthropology,ANTH 199,1,T B A,,,,T B A
69,Anthropology,ANTH 199RA,1,T B A,,,,T B A
70,Art,ART 1A,1,TASCHIAN H J,,T R,12:30pm - 1:45pm,PSYCH1924
71,Art,ART 1A,0,TASCHIAN H J,828,W,10:00am - 10:50am,ARTS 1344
72,Art,ART 1A,0,TASCHIAN H J,836,T,2:00pm - 2:50pm,ARTS 1344
73,Art,ART 1A,0,TASCHIAN H J,844,W,11:00am - 11:50am,ARTS 1344
74,Art,ART 1A,0,TASCHIAN H J,851,T,3:00pm - 3:50pm,ARTS 1344
75,Art,ART 7C,1,MULFINGER J,,T,3:30pm - 4:45pm,HSSB 1173
76,Art,ART 7C,0,MULFINGER J,877,M W,9:00 am - 10:50am,ARTS 1345
77,Art,ART 7C,0,MULFINGER J,,M W,9:00 am - 10:50am,ARTS 0645
78,Art,ART 7C,0,MULFINGER J,885,M W,1:00pm - 2:50pm,ARTS 1345
79,Art,ART 7C,0,MULFINGER J,,M W,1:00pm - 2:50pm,ARTS 0645
80,Art,ART 7C,0,MULFINGER J,893,T R,1:00pm - 2:50pm,ARTS 1345
81,Art,ART 7C,0,MULFINGER J,,T R,1:00pm - 2:50pm,ARTS 0645
82,Art,ART 7D,1,JEVBRATT L V,,R,3:30pm - 4:45pm,PHELP1260
83,Art,ART 7D,0,JEVBRATT L V,919,M,11:00am - 12:50pm,ARTS 1345
84,Art,ART 7D,0,JEVBRATT L V,,W,11:00am - 12:50pm,ARTS 2220
85,Art,ART 7D,0,JEVBRATT L V,927,M,3:00pm - 4:50pm,ARTS 1345
86,Art,ART 7D,0,JEVBRATT L V,,W,3:00pm - 4:50pm,ARTS 2220
87,Art,ART 7D,0,JEVBRATT L V,935,T,9:00 am - 10:50am,ARTS 1345
88,Art,ART 7D,0,JEVBRATT L V,,R,9:00 am - 10:50am,ARTS 2220
89,Art,ART 7D,0,JEVBRATT L V,73833,M W,5:00pm - 6:50pm,ARTS 1345
90,Art,ART 10,1,ELLIS C M||MATTES K A||,,M W,9:00 am - 11:50am,ARTS 2628
91,Art,ART 14,1,ELLIS C M||JAHNKE A||,,M W,1:00pm - 3:50pm,ARTS 2235
92,Art,ART 18,1,BELTZ E A||KOTH M||,,M W,1:00pm - 3:50pm,ARTS 2636
93,Art,ART 19,1,BRICCETTI R E||VELASCO C A||,,T R,12:00pm - 2:20pm,ARTS 1237
94,Art,ART 22,1,DE JESUS ESCA||THEOHAR E S||,,T R,12:00pm - 2:50pm,ARTS 2220
95,Art,ART 100,1,ARGENT P,,T R,1:00pm - 2:50pm,ARTS 2422
96,Art,ART 101,1,CALLISTER J,,W,1:00pm - 3:50pm,ARTS 2432
97,Art,ART CS 101,1,CONNALLY D E,,W,2:00pm - 3:50pm,CRST 136
98,Art,ART CS 101,1,PITCHER H,,T,9:00 am - 12:50pm,CRST 120
99,Art,ART CS 101,1,PITCHER H,,W,9:00 am - 12:50pm,CRST 120
100,Art,ART CS 105,1,EKSTROM L,,W,1:00pm - 4:50pm,CRST 107
101,Art,ART 105KY,1,YASUDA K,,F,12:00pm - 3:50pm,ARTS 0641
102,Art,ART 105TD,1,BAKER E A,,T R,9:00 am - 11:50am,ARTS 0641
103,Art,ART 106W,1,WHITE J S,,M W,8:00 am - 10:50am,TD-W 1530
104,Art,ART 110,1,BRUGGEMAN I V,,T R,9:00 am - 11:50am,ARTS 2235
105,Art,ART 112,1,BRUGGEMAN I V,,T R,2:00pm - 4:50pm,ARTS 2235
106,Art,ART CS 112,1,EKSTROM L,,W,6:00pm - 8:50pm,CRST 136
107,Art,ART CS 112,1,FULBECK L K,,W,1:00pm - 3:50pm,ARTS 1344
108,Art,ART CS 112,1,MIRACLE J W,,F,1:00pm - 4:50pm,CRST 120
109,Art,ART 117,1,BELTZ E A,,M W,9:00 am - 11:50am,ARTS 2636
110,Art,ART 120EL,1,BRICCETTI R E,,M W,9:00 am - 11:50am,ARTS 1237
111,Art,ART CS 125,1,MULFINGER J,,M,12:30pm - 2:50pm,ARTS 0641
112,Art,ART 130,1,TASCHIAN H J,,R,2:00pm - 4:50pm,ARTS 1344
113,Art,ART 132,1,MOULTON S M,,F,10:00am - 1:50pm,ARTS 2220
114,Art,ART 185AI,1,OFFERT F,,T R,9:00 am - 10:50am,ARTS 1344
115,Art,ART 192ES,1,T B A,,,,T B A
116,Art,ART 192IA,1,T B A,,,,T B A
117,Art,ART 194,1,YASUDA K||MORRISON A G||,,F,1:00pm - 3:50pm,ARTS 0641
118,Art,ART 196,1,BECKMAN L B,,W,3:00pm - 5:50pm,ARTS 1352
119,Art,ART 199,1,T B A,,,,T B A
120,Art,ART 199RA,1,T B A,,,,T B A
121,Art(CreativeStudies),ART CS 101,1,T B A,,W,2:00pm - 3:50pm,CRST 136
122,Art(CreativeStudies),ART CS 101,1,T B A,,T,9:00 am - 12:50pm,CRST 120
123,Art(CreativeStudies),ART CS 101,1,T B A,,W,9:00 am - 12:50pm,CRST 120
124,Art(CreativeStudies),ART CS 105,1,T B A,,W,1:00pm - 4:50pm,CRST 107
125,Art(CreativeStudies),ART CS 112,1,T B A,,W,6:00pm - 8:50pm,CRST 136
126,Art(CreativeStudies),ART CS 112,1,T B A,,W,1:00pm - 3:50pm,ARTS 1344
127,Art(CreativeStudies),ART CS 112,1,T B A,,F,1:00pm - 4:50pm,CRST 120
